                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.328,                 1.0056,                 1.4787,                0.59447,                 0.6705,                0.67853,                0.34459,                 1.5936,                 1.0166,                 1.5788,             0.00078837,             0.00078837,             0.00078837
                     47,                 1.3432,                 1.0106,                 1.4688,                0.67391,                0.75632,                0.74971,                0.34838,                 1.6587,                 0.9459,                 1.6232,             0.00078103,             0.00078103,             0.00078103
                     48,                 1.3537,                 1.0105,                 1.4739,                0.65788,                0.71274,                0.70772,                0.33812,                 1.5979,                 1.0189,                 1.5963,              0.0007737,              0.0007737,              0.0007737
                     49,                 1.3577,                 1.0153,                 1.4883,                0.66763,                  0.635,                0.67538,                0.33466,                 1.6571,                0.99078,                 1.6075,             0.00076637,             0.00076637,             0.00076637
                     50,                 1.3213,                0.97841,                 1.4654,                0.63061,                0.64472,                0.71005,                0.36582,                 1.5437,                 0.9265,                 1.5191,             0.00075904,             0.00075904,             0.00075904
                     51,                 1.3354,                0.99903,                 1.4706,                0.74901,                0.65221,                0.72168,                0.34031,                 1.6646,                  1.005,                 1.6181,              0.0007517,              0.0007517,              0.0007517
                     52,                 1.3323,                0.98755,                 1.4745,                0.73932,                0.71758,                0.73462,                0.36168,                 1.6055,                 0.9246,                  1.562,             0.00074437,             0.00074437,             0.00074437
                     53,                 1.3396,                0.98265,                 1.4657,                0.78596,                0.67714,                0.70417,                0.35821,                 1.5522,                0.94683,                 1.5422,             0.00073704,             0.00073704,             0.00073704
                     54,                 1.3358,                0.97276,                 1.4701,                0.68956,                0.72492,                0.74169,                0.37047,                  1.554,                0.89775,                 1.5308,              0.0007297,              0.0007297,              0.0007297
                     55,                 1.3041,                0.96211,                   1.46,                0.69614,                0.75064,                0.76999,                0.38114,                 1.5747,                0.93465,                 1.5522,             0.00072237,             0.00072237,             0.00072237
                     56,                  1.313,                0.96211,                 1.4577,                  0.663,                 0.6756,                0.71138,                0.35793,                 1.6033,                0.92071,                  1.579,             0.00071504,             0.00071504,             0.00071504
                     57,                 1.3295,                0.97508,                 1.4639,                0.66747,                0.71877,                0.72567,                0.36994,                 1.5805,                0.89394,                 1.5489,             0.00070771,             0.00070771,             0.00070771
                     58,                 1.3258,                0.96555,                 1.4734,                0.68323,                0.69348,                 0.7249,                0.36556,                 1.5705,                 0.9201,                 1.5513,             0.00070037,             0.00070037,             0.00070037
                     59,                 1.3219,                0.95125,                 1.4608,                0.80731,                0.64254,                0.71059,                0.36086,                 1.5903,                0.91763,                 1.5647,             0.00069304,             0.00069304,             0.00069304
                     60,                 1.3006,                0.95238,                 1.4542,                 0.6626,                0.71818,                0.72483,                0.36027,                 1.5947,                0.92075,                 1.5639,             0.00068571,             0.00068571,             0.00068571
                     61,                 1.3034,                 0.9599,                 1.4474,                0.70727,                0.70415,                0.70679,                0.36558,                 1.5546,                0.88689,                 1.5408,             0.00067838,             0.00067838,             0.00067838
                     62,                 1.3136,                0.95093,                 1.4581,                 0.7742,                0.69779,                0.74258,                0.36462,                 1.6188,                0.89424,                 1.5714,             0.00067104,             0.00067104,             0.00067104
                     63,                 1.3024,                  0.941,                 1.4453,                0.72717,                0.71477,                0.75512,                 0.3895,                 1.5426,                0.87426,                 1.5233,             0.00066371,             0.00066371,             0.00066371
                     64,                 1.2942,                0.95064,                 1.4393,                0.81625,                0.68105,                0.72096,                0.36581,                 1.5428,                0.87181,                 1.5295,             0.00065638,             0.00065638,             0.00065638
                     65,                 1.3123,                0.95081,                 1.4425,                0.82254,                0.63815,                0.72848,                0.37344,                 1.5273,                0.92287,                 1.5168,             0.00064905,             0.00064905,             0.00064905
                     66,                 1.3028,                0.94604,                 1.4438,                0.79383,                0.64584,                0.72083,                0.37198,                 1.5456,                0.93929,                 1.5137,             0.00064171,             0.00064171,             0.00064171
